ID,symbol,interval,Smooth Data?,Main Length Period,Secondary Length Period,Deviation Coefficient,BB Source,BB Length,BB StdDev,BB Signal Smoothing,BB Std. threshold,From Day,From Month,From Year,To Day,To Month,To Year,Use Heikin Ashi Candles in Algo Calculations,length,pcntChange,Rating for entry,Rating for exit,TP % for Short entries,SL % for Short entries,entry_numbers,longEntry,shortEntry,risk,leverage,combinedValue_net_profit,combinedPct_net_profit,longValue_net_profit,back_test,Score_back,,fw_test,Score_fw,weighted_average
"11, 02, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.3,0.5,0,0,0,TRUE,FALSE,100,1,20912.52,2091.25,20912.52,2091.25,94.29,,442.92,90.58,93.50438779
"11, 02, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.35,0.5,0,0,0,TRUE,FALSE,100,1,20912.52,2091.25,20912.52,2091.25,94.29,,442.92,90.58,93.50438779
"08, 01, 0.30, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,8,1,0.3,0.45,0,0,0,TRUE,FALSE,100,1,20313.53,2031.35,20313.53,2031.35,91.59,,488.98,100.00,93.36736678
"08, 01, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,8,1,0.35,0.4,0,0,0,TRUE,FALSE,100,1,20313.53,2031.35,20313.53,2031.35,91.59,,488.98,100.00,93.36736678
"08, 01, 0.35, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,8,1,0.35,0.45,0,0,0,TRUE,FALSE,100,1,20313.53,2031.35,20313.53,2031.35,91.59,,488.98,100.00,93.36736678
"08, 01, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,8,1,0.35,0.5,0,0,0,TRUE,FALSE,100,1,20313.53,2031.35,20313.53,2031.35,91.59,,488.98,100.00,93.36736678
"13, 01, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,1,0.35,0.4,0,0,0,TRUE,FALSE,100,1,20697.99,2069.8,20697.99,2069.8,93.32,,448.28,91.68,92.97369317
"06, 01, 0.30, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.3,0.4,0,0,0,TRUE,FALSE,100,1,20228.64,2022.86,20228.64,2022.86,91.21,,482.97,98.77,92.80556576
"06, 01, 0.30, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.3,0.45,0,0,0,TRUE,FALSE,100,1,20228.64,2022.86,20228.64,2022.86,91.21,,482.97,98.77,92.80556576
"06, 01, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.3,0.5,0,0,0,TRUE,FALSE,100,1,20228.64,2022.86,20228.64,2022.86,91.21,,482.97,98.77,92.80556576
"06, 01, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.35,0.4,0,0,0,TRUE,FALSE,100,1,20228.64,2022.86,20228.64,2022.86,91.21,,482.97,98.77,92.80556576
"06, 01, 0.35, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.35,0.45,0,0,0,TRUE,FALSE,100,1,20228.64,2022.86,20228.64,2022.86,91.21,,482.97,98.77,92.80556576
"06, 01, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.35,0.5,0,0,0,TRUE,FALSE,100,1,20228.64,2022.86,20228.64,2022.86,91.21,,482.97,98.77,92.80556576
"12, 01, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,FALSE,12,1,0.25,0.5,0,0,0,TRUE,FALSE,100,1,21409.54,2140.95,21409.54,2140.95,96.53,,381.48,78.02,92.61349267
"18, 01, 0.20, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,18,1,0.2,0.4,0,0,0,TRUE,FALSE,100,1,20488.47,2048.85,20488.47,2048.85,92.38,,453.61,92.77,92.459476
"20, 01, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,20,1,0.3,0.5,0,0,0,TRUE,FALSE,100,1,20248.67,2024.87,20248.67,2024.87,91.30,,468.21,95.75,92.23853942
"20, 01, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,20,1,0.35,0.4,0,0,0,TRUE,FALSE,100,1,20248.67,2024.87,20248.67,2024.87,91.30,,468.21,95.75,92.23853942
